日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,臺大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿中心,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳
2015/4/1,"5,739 ","16,324 ","33,163 ","48,108 ","23,519 ","15,004 ","12,108 ","4,682 ","3,360 ","15,373 ","2,457 ","4,750 ","7,560 ","10,553 ","10,171 ","17,244 ","15,297 ","5,753 ","8,069 ","3,496 ","8,325 ","8,297 ","3,553 ","31,488 ","1,989 ","11,901 ","11,306 ","15,853 ","20,741 ","15,506 ","9,320 ","28,082 ","19,415 ","34,238 ","28,905 ","6,783 ","34,434 ","26,451 ","25,720 ","20,931 ","24,286 ","143,698 ","34,426 ","22,022 ","26,250 ","26,050 ","37,480 ","30,030 ","24,244 ","13,501 ","31,844 ","7,996 ","9,061 ","18,540 ","6,599 ","3,813 ","2,850 ","13,661 ","10,094 ","8,655 ","38,514 ","15,522 ","7,035 ","20,066 ","19,970 ","28,128 ","34,527 ","42,917 ","24,680 ","27,432 ","65,392 ","22,568 ","31,292 ","36,907 ","21,946 ","56,356 ","20,327 ","18,203 ","15,330 ","11,921 ","10,708 ","30,757 ","15,295 ","7,206 ","5,840 ","35,246 ","18,739 ","17,921 ","17,850 ","12,727 ","10,186 ","4,915 ","4,365 ","4,095 ","8,820 ","8,160 ","13,247 ","16,869 ","25,819 ","22,114 ","11,738 ","12,240 ","11,601 ","11,933 ","11,299 ","8,718 ","8,195 "
2015/4/2,"6,300 ","16,923 ","33,260 ","52,068 ","23,751 ","14,449 ","12,092 ","4,638 ","3,412 ","16,628 ","2,618 ","4,726 ","10,441 ","9,077 ","11,301 ","15,797 ","15,603 ","6,369 ","8,523 ","3,601 ","8,848 ","8,919 ","3,380 ","30,661 ","2,564 ","13,008 ","11,971 ","17,166 ","21,371 ","15,693 ","9,728 ","28,628 ","20,773 ","32,704 ","30,833 ","6,887 ","36,396 ","27,694 ","26,804 ","21,809 ","24,009 ","162,888 ","37,351 ","23,182 ","26,997 ","27,343 ","38,606 ","30,726 ","24,140 ","14,069 ","33,800 ","8,115 ","9,359 ","19,967 ","7,269 ","3,734 ","2,927 ","14,029 ","10,386 ","9,053 ","41,190 ","16,502 ","7,051 ","21,032 ","20,679 ","29,284 ","38,190 ","45,069 ","25,827 ","28,570 ","71,341 ","23,558 ","33,623 ","39,702 ","22,679 ","61,946 ","21,233 ","19,309 ","16,681 ","12,884 ","11,260 ","36,386 ","16,067 ","7,302 ","5,934 ","36,667 ","18,860 ","18,345 ","19,183 ","13,916 ","11,808 ","5,112 ","4,370 ","4,074 ","9,021 ","8,424 ","14,275 ","16,843 ","26,582 ","23,123 ","12,171 ","12,427 ","12,058 ","11,937 ","11,651 ","8,779 ","8,945 "
2015/4/3,"5,291 ","10,462 ","17,802 ","52,203 ","13,174 ","9,235 ","8,334 ","5,679 ","2,244 ","9,599 ","1,996 ","3,549 ","16,630 ","6,120 ","11,110 ","5,865 ","6,515 ","4,057 ","7,887 ","4,394 ","5,843 ","6,854 ","1,648 ","19,173 ","2,258 ","12,578 ","9,254 ","12,823 ","14,383 ","13,132 ","7,949 ","28,301 ","18,191 ","23,400 ","25,532 ","3,440 ","30,377 ","21,886 ","21,184 ","17,905 ","10,679 ","160,869 ","35,074 ","18,998 ","17,928 ","24,720 ","41,724 ","28,318 ","19,993 ","9,938 ","24,595 ","6,040 ","6,607 ","15,651 ","7,951 ","3,001 ","2,375 ","8,509 ","8,908 ","7,987 ","51,401 ","12,877 ","6,504 ","17,085 ","13,764 ","26,048 ","34,762 ","33,573 ","19,533 ","27,104 ","82,065 ","11,771 ","23,022 ","34,058 ","20,578 ","57,953 ","14,012 ","14,939 ","10,132 ","9,213 ","8,612 ","34,945 ","11,555 ","8,220 ","3,962 ","17,893 ","10,109 ","12,054 ","17,775 ","8,074 ","8,365 ","3,697 ","2,181 ","3,053 ","6,393 ","7,758 ","10,223 ","11,059 ","17,313 ","20,785 ","10,192 ","10,350 ","9,988 ","9,272 ","10,091 ","6,626 ","7,282 "
2015/4/4,"4,475 ","9,591 ","16,855 ","49,290 ","11,711 ","8,051 ","7,656 ","5,610 ","2,528 ","8,038 ","2,031 ","3,912 ","21,057 ","5,455 ","11,220 ","4,719 ","5,426 ","3,484 ","6,875 ","4,074 ","5,155 ","5,916 ","1,405 ","17,247 ","2,341 ","13,833 ","8,711 ","11,644 ","12,728 ","11,825 ","7,291 ","25,894 ","16,636 ","20,921 ","24,127 ","2,874 ","27,486 ","19,491 ","19,006 ","16,716 ","10,089 ","157,872 ","32,177 ","14,794 ","16,319 ","24,975 ","43,936 ","28,405 ","19,645 ","8,194 ","22,527 ","5,533 ","6,245 ","14,970 ","8,276 ","3,007 ","1,910 ","7,531 ","8,049 ","9,597 ","57,138 ","12,669 ","6,380 ","15,753 ","11,866 ","23,866 ","32,708 ","30,016 ","17,690 ","25,590 ","78,669 ","11,857 ","21,192 ","30,741 ","18,630 ","51,576 ","12,567 ","13,746 ","8,836 ","8,392 ","8,854 ","33,565 ","10,197 ","9,456 ","3,569 ","15,766 ","12,686 ","10,927 ","18,091 ","6,008 ","9,524 ","3,634 ","1,823 ","2,890 ","6,331 ","7,321 ","9,299 ","10,071 ","15,166 ","19,994 ","9,292 ","9,560 ","9,261 ","8,585 ","9,280 ","6,538 ","6,604 "
2015/4/5,"4,658 ","8,412 ","14,436 ","43,244 ","10,225 ","6,966 ","6,681 ","5,372 ","2,424 ","6,739 ","1,668 ","3,107 ","17,495 ","4,768 ","9,891 ","3,993 ","4,575 ","3,224 ","6,050 ","3,787 ","4,433 ","5,315 ","1,261 ","15,431 ","1,743 ","12,475 ","7,769 ","10,107 ","10,916 ","10,801 ","6,327 ","23,137 ","15,607 ","18,078 ","20,417 ","2,672 ","24,427 ","17,128 ","16,636 ","15,049 ","8,280 ","165,217 ","28,965 ","12,808 ","16,041 ","22,280 ","36,507 ","22,916 ","19,827 ","6,747 ","19,106 ","4,948 ","5,051 ","13,039 ","7,001 ","2,564 ","1,620 ","6,435 ","7,062 ","8,417 ","49,166 ","12,044 ","5,830 ","13,378 ","9,660 ","20,554 ","33,063 ","26,096 ","15,904 ","23,077 ","73,037 ","10,996 ","18,911 ","27,164 ","14,640 ","48,749 ","10,652 ","12,344 ","7,563 ","7,664 ","7,670 ","29,599 ","8,753 ","8,354 ","3,049 ","13,677 ","12,297 ","9,951 ","16,480 ","5,594 ","8,464 ","3,118 ","1,614 ","2,499 ","5,267 ","6,624 ","8,637 ","9,173 ","13,068 ","18,288 ","8,223 ","8,677 ","7,911 ","7,532 ","8,098 ","5,915 ","5,922 "
2015/4/6,"5,484 ","8,877 ","16,047 ","45,208 ","11,427 ","8,230 ","7,218 ","3,861 ","1,956 ","8,296 ","1,682 ","3,151 ","12,089 ","5,476 ","10,289 ","4,968 ","5,319 ","3,479 ","6,435 ","3,680 ","4,992 ","5,706 ","1,441 ","17,021 ","1,623 ","11,694 ","8,310 ","11,327 ","13,079 ","11,279 ","6,948 ","24,778 ","14,368 ","20,376 ","20,869 ","2,662 ","25,654 ","18,279 ","18,140 ","15,775 ","13,957 ","196,207 ","30,419 ","17,173 ","16,603 ","20,614 ","32,381 ","23,290 ","17,432 ","8,903 ","22,651 ","5,210 ","5,319 ","13,513 ","6,241 ","2,593 ","2,002 ","7,340 ","7,930 ","6,151 ","44,301 ","12,264 ","5,470 ","14,698 ","12,111 ","22,442 ","36,484 ","29,105 ","17,103 ","24,500 ","71,470 ","9,201 ","19,208 ","29,709 ","15,653 ","47,848 ","11,538 ","12,732 ","8,192 ","8,512 ","7,624 ","18,955 ","9,443 ","6,654 ","3,579 ","15,651 ","12,720 ","10,651 ","14,674 ","5,678 ","7,028 ","3,399 ","1,910 ","2,617 ","5,778 ","6,663 ","9,782 ","9,525 ","15,244 ","17,688 ","8,772 ","9,082 ","8,698 ","8,050 ","8,699 ","6,081 ","6,169 "
2015/4/7,"6,273 ","16,502 ","32,789 ","44,712 ","23,694 ","15,662 ","11,959 ","4,146 ","3,309 ","15,278 ","2,400 ","4,714 ","6,402 ","10,177 ","9,242 ","16,744 ","15,079 ","5,645 ","7,798 ","3,078 ","7,658 ","7,867 ","3,722 ","29,804 ","1,985 ","11,877 ","11,260 ","15,795 ","20,574 ","15,819 ","9,249 ","26,785 ","17,998 ","33,151 ","27,955 ","7,128 ","33,802 ","25,428 ","25,312 ","19,932 ","25,282 ","151,997 ","32,479 ","21,983 ","26,082 ","26,176 ","35,346 ","27,025 ","22,703 ","13,490 ","30,624 ","7,937 ","9,083 ","17,575 ","6,621 ","3,633 ","2,892 ","13,324 ","9,828 ","7,812 ","34,857 ","15,631 ","6,545 ","19,898 ","18,857 ","27,337 ","33,578 ","41,600 ","23,358 ","29,755 ","61,025 ","19,578 ","27,550 ","35,236 ","21,448 ","53,700 ","20,316 ","17,665 ","15,002 ","11,530 ","10,088 ","23,689 ","14,909 ","6,490 ","5,697 ","35,174 ","18,129 ","17,382 ","17,362 ","6,791 ","12,044 ","4,789 ","4,314 ","3,903 ","8,582 ","7,903 ","13,267 ","16,113 ","25,877 ","20,942 ","11,525 ","11,841 ","11,193 ","11,442 ","11,005 ","8,305 ","8,212 "
2015/4/8,"5,642 ","17,183 ","34,416 ","46,802 ","24,411 ","16,524 ","12,149 ","4,191 ","3,778 ","15,333 ","2,420 ","4,660 ","6,764 ","10,661 ","10,187 ","17,640 ","15,786 ","5,713 ","8,084 ","3,266 ","8,635 ","8,205 ","3,926 ","33,817 ","2,093 ","12,093 ","11,241 ","16,187 ","21,300 ","16,137 ","9,261 ","27,735 ","18,558 ","34,339 ","28,908 ","8,544 ","34,533 ","26,103 ","25,675 ","20,334 ","25,067 ","140,061 ","33,614 ","22,061 ","26,576 ","25,031 ","35,266 ","29,584 ","23,711 ","13,749 ","31,420 ","7,877 ","9,167 ","18,005 ","6,816 ","3,652 ","2,851 ","13,438 ","9,984 ","7,963 ","34,568 ","15,669 ","6,742 ","20,274 ","20,441 ","27,855 ","34,020 ","42,844 ","24,898 ","26,900 ","62,384 ","23,130 ","30,049 ","37,583 ","22,927 ","54,705 ","20,809 ","17,908 ","15,554 ","11,642 ","9,964 ","25,553 ","15,436 ","6,412 ","5,992 ","36,388 ","22,704 ","18,321 ","17,370 ","7,318 ","10,076 ","4,854 ","4,547 ","3,994 ","8,758 ","8,014 ","13,014 ","16,685 ","26,013 ","21,474 ","11,623 ","12,101 ","11,360 ","11,811 ","11,264 ","8,342 ","8,328 "
2015/4/9,"5,985 ","17,131 ","35,071 ","47,473 ","24,440 ","16,457 ","12,297 ","4,304 ","3,916 ","15,153 ","2,458 ","4,717 ","6,718 ","10,607 ","9,978 ","17,526 ","15,722 ","5,725 ","8,028 ","3,169 ","8,810 ","8,217 ","3,653 ","35,079 ","2,260 ","11,934 ","11,461 ","16,225 ","21,407 ","16,232 ","9,304 ","28,381 ","18,765 ","34,478 ","28,861 ","8,410 ","35,513 ","26,612 ","26,395 ","21,222 ","24,542 ","139,346 ","35,460 ","22,268 ","26,721 ","25,567 ","36,519 ","29,438 ","23,469 ","13,674 ","31,209 ","8,055 ","9,179 ","17,758 ","6,816 ","3,728 ","2,938 ","13,752 ","10,117 ","8,245 ","35,884 ","15,668 ","6,672 ","20,556 ","21,018 ","28,234 ","34,284 ","43,312 ","25,355 ","27,798 ","63,810 ","23,469 ","30,741 ","37,083 ","21,683 ","55,396 ","20,901 ","18,367 ","15,301 ","11,754 ","10,351 ","27,079 ","15,481 ","6,489 ","5,893 ","37,896 ","23,523 ","18,897 ","18,292 ","12,499 ","10,394 ","5,238 ","4,431 ","4,189 ","9,332 ","8,257 ","13,466 ","16,982 ","26,771 ","21,959 ","11,831 ","11,914 ","11,636 ","12,035 ","11,556 ","8,518 ","8,566 "
2015/4/10,"6,352 ","18,372 ","37,363 ","54,685 ","25,396 ","17,802 ","13,056 ","4,515 ","3,809 ","17,357 ","2,510 ","4,846 ","6,966 ","11,547 ","11,668 ","18,725 ","16,606 ","6,464 ","8,815 ","3,390 ","9,522 ","9,145 ","4,020 ","36,676 ","2,373 ","12,432 ","12,318 ","18,000 ","23,361 ","18,014 ","10,242 ","34,722 ","22,006 ","38,352 ","32,219 ","8,952 ","38,276 ","28,308 ","28,657 ","22,332 ","26,463 ","171,344 ","40,251 ","23,222 ","28,416 ","27,938 ","40,516 ","33,113 ","24,852 ","13,986 ","33,479 ","8,422 ","9,853 ","18,716 ","7,481 ","3,896 ","3,133 ","14,667 ","10,571 ","8,767 ","40,407 ","16,702 ","7,261 ","21,727 ","21,286 ","30,189 ","40,084 ","46,689 ","26,662 ","29,053 ","75,211 ","24,238 ","34,397 ","42,433 ","24,195 ","63,347 ","22,674 ","19,296 ","17,002 ","13,219 ","11,120 ","30,974 ","16,984 ","6,909 ","6,998 ","39,215 ","25,335 ","20,284 ","19,798 ","15,936 ","11,088 ","5,559 ","4,820 ","4,649 ","10,042 ","9,342 ","15,055 ","18,358 ","28,742 ","24,925 ","12,709 ","12,509 ","12,794 ","13,040 ","12,577 ","9,274 ","9,385 "
