日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,臺大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿中心,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳
2015/4/1,"5,854 ","15,867 ","33,506 ","49,087 ","23,361 ","14,393 ","11,629 ","4,216 ","3,148 ","16,139 ","2,082 ","4,498 ","7,620 ","10,456 ","10,074 ","18,011 ","15,297 ","5,539 ","8,075 ","3,242 ","8,506 ","8,602 ","3,448 ","30,009 ","2,134 ","10,793 ","11,991 ","15,011 ","20,089 ","14,595 ","8,598 ","24,442 ","18,856 ","33,388 ","28,526 ","6,987 ","35,567 ","26,310 ","25,537 ","20,292 ","25,888 ","153,760 ","35,220 ","23,709 ","25,043 ","25,941 ","34,615 ","28,296 ","24,773 ","12,827 ","33,278 ","7,431 ","7,618 ","20,198 ","5,879 ","3,740 ","3,093 ","14,269 ","10,372 ","8,434 ","36,567 ","15,505 ","7,068 ","20,548 ","17,871 ","26,713 ","37,831 ","40,147 ","25,142 ","25,697 ","66,873 ","24,101 ","30,063 ","39,196 ","23,182 ","57,662 ","20,315 ","18,245 ","16,304 ","10,790 ","9,213 ","31,261 ","16,082 ","6,847 ","5,971 ","36,709 ","19,114 ","18,775 ","17,127 ","13,498 ","11,115 ","4,272 ","4,094 ","4,041 ","8,344 ","8,440 ","11,326 ","16,848 ","27,564 ","22,673 ","11,016 ","12,376 ","12,105 ","11,338 ","11,128 ","8,102 ","7,346 "
2015/4/2,"6,421 ","16,266 ","35,675 ","53,277 ","23,812 ","14,081 ","11,726 ","4,134 ","3,040 ","15,826 ","2,008 ","4,463 ","8,881 ","8,283 ","11,079 ","15,916 ","15,187 ","5,705 ","8,085 ","3,320 ","8,512 ","8,965 ","3,330 ","28,697 ","2,655 ","11,297 ","12,151 ","15,491 ","20,612 ","15,057 ","8,697 ","26,468 ","19,902 ","31,565 ","30,067 ","7,023 ","36,504 ","26,811 ","25,462 ","20,797 ","26,178 ","194,127 ","38,661 ","25,184 ","25,268 ","26,756 ","36,566 ","30,028 ","24,115 ","13,066 ","33,437 ","7,456 ","7,653 ","20,387 ","6,111 ","3,633 ","3,141 ","13,632 ","10,404 ","7,765 ","37,145 ","16,853 ","6,986 ","21,070 ","18,061 ","28,533 ","42,902 ","40,340 ","25,831 ","26,714 ","73,726 ","24,671 ","32,123 ","42,494 ","24,557 ","64,500 ","20,710 ","18,809 ","16,554 ","11,655 ","9,968 ","36,577 ","16,563 ","6,915 ","6,170 ","38,810 ","19,458 ","19,208 ","18,317 ","13,317 ","12,794 ","4,444 ","4,153 ","4,052 ","8,532 ","8,749 ","11,577 ","16,751 ","28,012 ","23,435 ","11,306 ","12,423 ","12,255 ","11,299 ","11,606 ","8,005 ","7,488 "
2015/4/3,"5,549 ","9,838 ","18,643 ","53,437 ","13,390 ","8,882 ","7,821 ","5,074 ","2,069 ","9,122 ","1,604 ","3,059 ","17,797 ","5,935 ","11,388 ","5,671 ","5,992 ","3,693 ","7,245 ","4,474 ","5,293 ","6,805 ","1,533 ","16,690 ","2,415 ","12,183 ","9,016 ","11,052 ","13,291 ","12,079 ","6,860 ","26,019 ","17,644 ","21,962 ","26,156 ","3,400 ","28,656 ","20,208 ","19,129 ","16,719 ","11,143 ","193,361 ","36,687 ","20,324 ","16,376 ","23,757 ","41,550 ","28,429 ","19,441 ","9,159 ","23,726 ","5,218 ","5,257 ","16,051 ","7,860 ","2,913 ","2,446 ","8,365 ","8,697 ","7,788 ","48,264 ","13,062 ","6,108 ","15,931 ","11,811 ","25,402 ","39,228 ","29,007 ","18,550 ","25,820 ","85,627 ","12,470 ","21,570 ","36,440 ","23,545 ","59,750 ","12,811 ","15,233 ","9,493 ","8,499 ","8,156 ","36,517 ","11,497 ","8,199 ","4,004 ","18,708 ","10,428 ","11,954 ","16,920 ","6,806 ","8,959 ","3,395 ","2,073 ","2,969 ","6,069 ","7,772 ","8,101 ","11,064 ","17,850 ","20,849 ","9,072 ","9,804 ","9,660 ","8,621 ","9,539 ","6,201 ","6,194 "
2015/4/4,"4,542 ","9,175 ","17,444 ","50,570 ","12,424 ","7,959 ","7,258 ","5,572 ","2,489 ","8,151 ","1,620 ","3,394 ","21,895 ","5,570 ","11,467 ","4,840 ","5,213 ","3,428 ","6,497 ","4,154 ","4,708 ","5,866 ","1,302 ","15,372 ","2,429 ","12,882 ","8,702 ","10,567 ","12,162 ","11,380 ","6,500 ","25,244 ","16,641 ","20,244 ","24,965 ","3,211 ","26,790 ","18,812 ","17,351 ","16,140 ","10,373 ","170,520 ","33,800 ","15,525 ","14,832 ","24,489 ","43,324 ","29,861 ","19,149 ","7,578 ","22,212 ","5,009 ","4,907 ","15,320 ","8,120 ","3,002 ","1,743 ","7,830 ","7,721 ","9,616 ","55,502 ","12,655 ","6,056 ","15,060 ","10,099 ","23,374 ","35,574 ","26,224 ","16,883 ","24,514 ","81,252 ","12,467 ","20,121 ","33,304 ","20,535 ","52,910 ","11,729 ","14,239 ","8,490 ","8,093 ","8,526 ","35,341 ","10,458 ","9,637 ","3,578 ","16,732 ","13,793 ","11,288 ","16,079 ","6,090 ","10,167 ","3,350 ","1,704 ","2,986 ","5,866 ","7,520 ","7,648 ","9,947 ","15,696 ","20,204 ","8,353 ","9,148 ","9,037 ","7,994 ","9,221 ","6,356 ","5,869 "
2015/4/5,"3,732 ","8,107 ","14,564 ","44,811 ","10,542 ","7,234 ","6,942 ","5,370 ","2,390 ","7,331 ","1,372 ","3,014 ","18,326 ","5,056 ","10,348 ","4,197 ","4,652 ","3,091 ","5,996 ","3,976 ","4,168 ","5,466 ","1,217 ","13,718 ","1,950 ","11,875 ","8,208 ","10,055 ","11,061 ","11,508 ","6,436 ","24,632 ","16,439 ","18,303 ","21,531 ","2,867 ","25,840 ","18,000 ","16,335 ","15,602 ","8,654 ","142,795 ","30,056 ","13,589 ","14,645 ","21,627 ","36,319 ","23,937 ","21,076 ","6,944 ","20,247 ","4,826 ","4,005 ","13,772 ","6,849 ","2,609 ","1,489 ","7,308 ","7,223 ","8,641 ","50,212 ","12,206 ","5,659 ","13,857 ","8,839 ","20,370 ","31,222 ","24,391 ","16,260 ","22,526 ","76,023 ","11,769 ","18,392 ","29,866 ","17,316 ","47,361 ","10,492 ","13,591 ","7,924 ","7,396 ","7,656 ","31,919 ","9,642 ","8,700 ","2,936 ","14,247 ","13,660 ","10,456 ","14,901 ","6,126 ","8,875 ","2,992 ","1,576 ","2,520 ","5,166 ","6,840 ","6,623 ","9,285 ","13,516 ","18,900 ","7,822 ","8,687 ","8,302 ","7,501 ","8,175 ","6,059 ","5,594 "
2015/4/6,"4,638 ","8,909 ","16,817 ","46,210 ","12,301 ","8,701 ","7,376 ","4,029 ","2,029 ","9,260 ","1,420 ","3,033 ","13,614 ","6,651 ","10,573 ","5,938 ","5,925 ","3,947 ","6,562 ","3,798 ","4,949 ","6,298 ","1,446 ","15,597 ","1,835 ","10,791 ","8,846 ","11,650 ","13,493 ","13,048 ","7,389 ","29,653 ","16,280 ","22,088 ","22,861 ","3,018 ","27,719 ","19,426 ","17,779 ","16,040 ","14,439 ","149,884 ","31,266 ","18,603 ","15,243 ","19,440 ","34,661 ","25,073 ","18,182 ","8,972 ","24,957 ","5,137 ","4,441 ","14,872 ","6,242 ","2,546 ","2,282 ","8,636 ","8,298 ","6,886 ","49,114 ","12,358 ","5,330 ","14,748 ","10,955 ","22,049 ","33,612 ","27,584 ","17,880 ","23,263 ","73,395 ","9,779 ","19,452 ","31,747 ","17,477 ","46,788 ","11,873 ","13,781 ","9,422 ","8,122 ","7,441 ","20,483 ","10,473 ","6,856 ","3,640 ","16,602 ","13,913 ","11,478 ","13,478 ","6,513 ","7,570 ","3,185 ","1,830 ","2,652 ","5,613 ","7,182 ","7,265 ","10,065 ","16,590 ","18,587 ","8,189 ","8,935 ","8,854 ","7,845 ","8,736 ","6,096 ","5,980 "
2015/4/7,"5,501 ","15,741 ","34,409 ","45,389 ","23,752 ","15,467 ","11,705 ","3,830 ","3,020 ","18,074 ","1,955 ","4,751 ","6,994 ","10,843 ","9,214 ","17,782 ","15,190 ","5,420 ","7,714 ","2,881 ","8,194 ","8,429 ","3,254 ","28,467 ","2,118 ","10,332 ","12,088 ","15,423 ","20,432 ","16,414 ","8,985 ","27,333 ","18,596 ","33,381 ","27,497 ","7,478 ","35,787 ","25,862 ","25,198 ","19,608 ","26,856 ","135,353 ","33,157 ","23,833 ","24,712 ","25,686 ","34,728 ","28,624 ","22,440 ","13,060 ","32,713 ","7,283 ","7,427 ","19,373 ","5,895 ","3,528 ","3,165 ","14,305 ","10,391 ","7,910 ","35,918 ","15,426 ","6,566 ","20,288 ","16,792 ","26,386 ","35,778 ","39,226 ","24,682 ","28,728 ","61,545 ","21,003 ","27,628 ","37,475 ","22,869 ","53,497 ","20,314 ","17,839 ","16,112 ","10,427 ","8,583 ","23,694 ","15,896 ","6,245 ","5,692 ","36,502 ","18,534 ","18,146 ","16,817 ","8,247 ","13,103 ","4,072 ","4,127 ","3,871 ","8,387 ","8,281 ","11,411 ","16,057 ","27,369 ","21,686 ","10,642 ","12,185 ","11,683 ","11,080 ","11,053 ","7,914 ","7,307 "
2015/4/8,"5,340 ","16,431 ","36,024 ","47,227 ","24,195 ","16,313 ","12,053 ","3,931 ","3,634 ","16,246 ","2,031 ","4,675 ","6,717 ","10,692 ","10,177 ","18,494 ","15,636 ","5,573 ","8,070 ","3,034 ","8,941 ","8,611 ","3,630 ","32,937 ","2,229 ","10,668 ","12,130 ","15,547 ","20,721 ","16,090 ","8,976 ","26,834 ","18,559 ","33,965 ","28,440 ","8,875 ","36,162 ","26,402 ","25,964 ","19,753 ","26,711 ","134,016 ","33,982 ","23,736 ","25,367 ","24,851 ","34,284 ","29,458 ","24,403 ","13,078 ","33,143 ","7,381 ","7,468 ","19,715 ","6,118 ","3,581 ","3,142 ","14,167 ","10,423 ","7,765 ","34,016 ","15,950 ","6,752 ","20,619 ","18,337 ","26,603 ","37,171 ","40,174 ","25,474 ","25,355 ","63,000 ","24,298 ","29,495 ","39,711 ","24,354 ","54,780 ","20,932 ","18,123 ","16,411 ","10,617 ","8,416 ","25,560 ","16,305 ","6,267 ","6,166 ","37,519 ","23,808 ","19,166 ","16,534 ","9,789 ","11,015 ","4,260 ","4,316 ","3,899 ","8,579 ","8,452 ","11,372 ","16,696 ","27,644 ","21,825 ","10,918 ","12,235 ","12,057 ","11,449 ","11,294 ","7,901 ","7,415 "
2015/4/9,"5,379 ","16,499 ","37,348 ","47,837 ","24,595 ","16,066 ","12,059 ","3,888 ","3,734 ","16,121 ","1,992 ","4,604 ","6,687 ","10,794 ","9,828 ","18,747 ","15,721 ","5,473 ","7,935 ","2,995 ","8,906 ","8,442 ","3,549 ","33,855 ","2,366 ","10,290 ","12,099 ","15,577 ","20,938 ","16,257 ","8,793 ","27,534 ","18,694 ","34,247 ","28,304 ","9,076 ","36,781 ","26,461 ","26,133 ","20,525 ","25,982 ","137,513 ","36,209 ","24,067 ","25,498 ","25,555 ","35,539 ","30,158 ","23,281 ","13,052 ","32,802 ","7,412 ","7,672 ","19,568 ","6,107 ","3,647 ","3,093 ","14,255 ","10,471 ","8,084 ","35,042 ","15,976 ","6,734 ","20,632 ","18,657 ","26,830 ","37,463 ","40,235 ","25,722 ","25,966 ","64,207 ","25,076 ","30,095 ","39,755 ","23,056 ","56,407 ","20,758 ","18,517 ","16,348 ","10,812 ","8,817 ","27,368 ","16,022 ","6,187 ","6,108 ","39,539 ","25,211 ","19,646 ","17,430 ","13,690 ","11,268 ","4,497 ","4,203 ","4,049 ","8,664 ","8,340 ","11,605 ","16,652 ","28,587 ","22,462 ","11,062 ","12,203 ","12,100 ","11,513 ","11,429 ","8,091 ","7,531 "
2015/4/10,"5,928 ","18,152 ","40,348 ","56,055 ","26,357 ","17,396 ","13,102 ","4,122 ","3,585 ","16,640 ","2,063 ","4,645 ","6,461 ","10,954 ","11,684 ","19,500 ","16,533 ","6,061 ","8,734 ","3,074 ","9,249 ","9,136 ","3,773 ","35,322 ","2,531 ","10,995 ","12,964 ","16,632 ","22,407 ","17,838 ","9,703 ","32,889 ","21,534 ","37,935 ","31,764 ","9,563 ","40,079 ","28,657 ","27,804 ","21,904 ","28,618 ","173,612 ","41,769 ","25,489 ","27,592 ","27,780 ","38,982 ","31,919 ","25,392 ","13,385 ","34,252 ","7,726 ","8,046 ","20,219 ","6,560 ","3,874 ","3,184 ","14,473 ","10,920 ","8,174 ","36,763 ","16,947 ","7,311 ","21,970 ","18,527 ","29,652 ","43,520 ","42,801 ","27,170 ","27,258 ","77,744 ","26,439 ","33,597 ","45,656 ","26,184 ","65,339 ","22,642 ","19,517 ","17,408 ","11,822 ","9,470 ","31,180 ","18,497 ","6,796 ","6,970 ","42,027 ","27,191 ","21,247 ","19,188 ","15,740 ","12,292 ","4,725 ","4,518 ","4,535 ","9,353 ","9,574 ","12,253 ","18,470 ","30,719 ","25,621 ","11,764 ","12,878 ","13,031 ","12,311 ","12,402 ","8,568 ","8,124 "
